순번,논문명,저자명,출판년
1,공왜도와 모멘텀 반전 현상: 한국 주식시장의 실증 연구 = Coskewness and Momentum Reversal Dynamics: Empirical Evidence from the Korean Stock Market,권가람,2026
2,국내 상장기업의 시장 레버리지와 부채 이질성의 상호작용과 주식수익률 = An Empirical Study of the Interaction between Market Leverage and Debt Heterogeneity in the Korean Stock Market,김규훈,2026
3,위기 유형별 금융시장 연결성 구조 분석: TVP-VAR 모형과 GFEVD 기반 네트워크 접근법 = Crisis-Specific Analysis of Financial Market Connectedness: TVP-VAR and GFEVD Network Methodology,김기필,2026
4,새로운 Fama-MacBeth 회귀분석을 이용한 한국 주식 시장의 횡단면 수익률 예측 = Cross-Sectional Return Prediction in the Korean Stock Market: A New Fama-MacBeth Approach,김보배,2026
5,재무적 곤경과 주식수익률 :유한혼합모형(Finite Mixture Approach)를 이용한 한국 주식시장 실증분석 = Financial distress and return: A finite mixture approach in Korean market,김윤수,2026
6,한국 주식시장의 단기 모멘텀과 반전: 52주 최고가 앵커링과 거래회전율 결합효과에 대한 실증연구 = Short-Term Momentum and Reversal in the Korean Stock Market : An Empirical Study on the Combined Effects of 52-Week High Anchoring and Turnover,김종배,2026
7,초과생산능력과 기업투자: 자산활용도를 통한 q-이론의 한국 시장 재검증 = Excess Capacity and Corporate Investment: Revisiting q-theory through Asset Utilization in the Korean Market,김창수,2026
8,한국 개인투자자의 성격 요인이 투자 의사결정에 미치는 영향 = Personality Traits and Investment Behavior : Evidence from Korean Retail Investors,유문선,2026
9,ETF 상품 간 경쟁이 시장 품질에 미치는 영향 = The Impact of ETF Competition on Market Quality: Evidence from the Korean Market,유희석,2026
10,Pricing Kernel Distortions in KOSPI 200 Index Options = KOSPI 200 지수옵션의 가격 결정 커널 구조 왜곡 분석,"Yoon, Su Han",2026
11,The Brand Premium in the Korean Stock Market = 한국 주식시장의 브랜드 프리미엄 효과,"Yoon, Ju Hee",2026
12,한국 주식시장에서 애널리스트 목표주가 컨센서스의 분산이 정보 유용성에 미치는 영향 = The Effect of Dispersion on the Informativeness of Consensus Analyst Target Prices in the Korean Stock Market,이동현,2026
13,Treasury Return Predictability in Korea: Revisiting the Cochrane–Piazzesi factor and Cointegration = 한국 국채수익률의 예측가능성: Cochrane–Piazzesi요인과 공적분의 재검토,Lee Suhyun,2026
14,주가경로의 볼록성과 기대수익률의 관계: 한국시장을 중심으로 = Price-Path Convexity and Expected Returns: Evidence from the Korean Market,이승한,2026
15,한국 시장 머신러닝 포트폴리오의 결측값 처리 = Missing Values of Machine Learning Portfolios in Korean Market,이종원,2026
16,서킷 브레이커의 사전적 효과에 대한 연구 : 주가지수 선물을 이용한 한국시장의 실증분석 = The Ex-ante Effects of Circuit Breakers : Evidence from Korean Stock Index Futures,김형환,2026
17,고유변동성과 창조적 파괴: 경기선행성에 관한 실증연구 = Idiosyncrasy and Creative Destruction: Evidence from the Korean Market,박근회,2026
18,"Construction, Real Uncertainty and Investment-Based Return Patterns in the Korean Stock Market = 건설과 실물 불확실성이 수익률에 미치는 영향","Park, Sung Joon",2026
19,기대고유변동성: 한국시장 중심으로 = Expected idiosyncratic volatility: Evidence from the Korean stock market,박효권,2026
20,달력 순환에 따른 실적공시 순서효과: 한국 상장기업 사례 분석 = The Effect of Earnings Announcement Order under Calendar Rotations: Evidence from the Korean Stock Market,이희예,2026
21,옵션 내재변동성 예측 개선에 대한 연구: 신경망 기반 잔차 보정 모델의 국내시장 적용 및 거래 전략 검증 = Neural Network Residual Correction for Implied Volatility Prediction: Korean Options and Trading Validation,임우섭,2026
22,Equity Premium Predictability Using the Recession Probability: Evidence from the Korean Market = 경기 침체 확률을 이용한 주식 프리미엄 예측,"Cho, Minhyeong",2026
23,주파수 도메인 방법론을 통한 가격 예측 잠재력 발굴: KOSPI 200 대상 = Unlocking Predictive Potential through Frequency-Domain Approach: The Case of KOSPI 200,안현,2026
24,House Prices and Rents in Korea = 한국 주택가격과 임대료 간의 관계 실증 분석,"Yang, Su Jin",2026
25,벤처캐피탈 공급 확대가 국내 IPO 시장에 미치는 영향 = The Rise of Venture Capital and IPO Quality in the Korean Market,염지아,2026
26,"한국 주식 프리미엄 예측에서 VKOSPI 임계치와 투자자 심리의 역할 = VKOSPI Threshold, Investor Sentiment, and the Korean Equity Premium",손은빈,2026
27,민감도 기반 리스크-리턴 옵션평가 방법론에 대한 실증분석 : KOSPI 200 지수 옵션을 중심으로 = Empirical test of a Greeks-Based Risk–Return Option Pricing Framework on KOSPI 200 index option,주한음,2026
28,모형 복잡성과 주식 수익률 예측: 한국 주식시장의 실증 분석 = Model Complexity and Return Prediction: Evidence from the Korean Equity Market,최선아,2026
29,VKOSPI와 KOSPI200 지수의 변동성 간 양방향 예측 관계 = Bidirectional Forecasting Between the Volatilities of VKOSPI and KOSPI200,고아라,2026
30,머신러닝을 활용한 주식시장 베타 추정: 한국 주식시장 실증 분석 = Estimating Stock Market Betas via Machine Learning: Application to the Korean Equity Market,고성규,2026
31,한국 주식시장의 비정상가격 측정 및 횡단면 분석 = Measuring Mispricing : A Cross-Sectional Analysis of the Korean Equity Market,최영서,2026
32,주식 수익률 변동성 및 투자자 수익률 변동성 간 차이에 대한 실증적 연구 = An Empirical Study on the Disparity Between Stock Return Volatility and Investor Return Volatility in the Korea Stock Market,홍지호,2026
33,Leave-one-out 최소자승 몬테카를로법을 이용한 전환사채 가치평가 = Leave-one-out least squares Monte Carlo algorithm for pricing convertible bonds,김효근,2025
34,한국 주식시장에서의 합산 접근법(sum-of-parts method)을 이용한 포트폴리오 차원의 수익률 예측 = Portfolio-level return predictability using a sum of parts approach in the Korean stock market,남지수,2025
35,"시가, 고가, 저가, 종가를 활용한 효율적인 매수-매도 스프레드 추정의 한국 주식시장 적용 = Application of efficient estimation of bid-ask spreads from open, high, low, and close prices in the Korea stock markets",우상원,2025
36,한국 회사채 시장에서 장부가치 대비 시장가치 비율의 예측력 검증 = Assessing the predictive power of the Bond Book-to-Market (BBM) ratio in the Korean corporate bond market,정채희,2025
37,한국 주식 시장에서 계절에 따른 수익률 변동이 주식 유동성에 미치는 영향 = (The) impact of seasonal return variations on stock liquidity in the Korean stock market,조철수,2025
