strategy,factor_model,observations,annual_alpha,alpha_t_statistic,alpha_p_value,r_squared,adjusted_r_squared
Korean FF1 / cnn_transformer / meanvar,CAPM,606,0.09075901186788275,1.5067628654975915,0.13239425974098773,3.466417264597066e-05,-0.0016209075754125557
Korean FF1 / cnn_transformer / meanvar,Korean FF3,606,0.0891565764662914,1.462756652373889,0.1440558459107387,0.0002765925868647434,-0.0047054177490810645
Korean FF1 / cnn_transformer / meanvar,Korean FF5,606,0.08145675574662817,1.3424269403283071,0.17996529182562657,0.014910914678963438,0.006701838967954843
Korean FF1 / cnn_transformer / meanvar,Korean 6-factor,606,0.08103490137613582,1.3347256615769245,0.18247324787400448,0.015567604641886668,0.005706846090720252
Korean FF1 / fourier_ffn / meanvar,CAPM,606,0.09186975482961339,1.6136875526171506,0.1071175023463898,0.0035443965025829804,0.0018946355696403128
Korean FF1 / fourier_ffn / meanvar,Korean FF3,606,0.10955721621921974,1.9090267203270244,0.05673382142805426,0.011374717070765206,0.006448013003011566
Korean FF1 / fourier_ffn / meanvar,Korean FF5,606,0.10100166073748462,1.7711512341589317,0.07704315136477832,0.02947922228225952,0.02139154913461172
Korean FF1 / fourier_ffn / meanvar,Korean 6-factor,606,0.10097145910284745,1.7690420275254575,0.07739567554612636,0.029482976787063242,0.019761604267401145
Korean FF3 / cnn_transformer / meanvar,CAPM,606,0.1570250524238349,4.650254171155165,4.0750478643722235e-06,0.00447432706109141,0.0028261057482786844
Korean FF3 / cnn_transformer / meanvar,Korean FF3,606,0.15261380098641975,4.469057426379657,9.388139053833283e-06,0.005864202325309931,0.0009100372206187757
Korean FF3 / cnn_transformer / meanvar,Korean FF5,606,0.15157058627968129,4.43739456844359,1.0835414283510787e-05,0.011107504229706633,0.002866733431620916
Korean FF3 / cnn_transformer / meanvar,Korean 6-factor,606,0.1514282258346742,4.429793964175514,1.1214977081043654e-05,0.011344416008944425,0.001441355067464789
Korean FF3 / fourier_ffn / meanvar,CAPM,606,0.08200088238279998,2.4951141001574917,0.012857528801415732,0.003709400370709215,0.0020599126229786657
Korean FF3 / fourier_ffn / meanvar,Korean FF3,606,0.08284630014794192,2.4917839761139198,0.012978323251547795,0.004417455242252788,-0.0005439195655101425
Korean FF3 / fourier_ffn / meanvar,Korean FF5,606,0.08313975337358949,2.493854907896445,0.012904533516664067,0.0047956546365627295,-0.0034977149081325543
Korean FF3 / fourier_ffn / meanvar,Korean 6-factor,606,0.08316917605373142,2.4925204478631438,0.012953066198686105,0.00480634602950758,-0.005162204761515632
Korean FF5 / cnn_transformer / meanvar,CAPM,606,0.1041148316267203,3.5506521249504543,0.0004141928907700055,0.0052196621491599204,0.003572674834837364
Korean FF5 / cnn_transformer / meanvar,Korean FF3,606,0.10824052200369688,3.6523678913985944,0.00028246910921444243,0.007864530907244371,0.002920334217413334
Korean FF5 / cnn_transformer / meanvar,Korean FF5,606,0.10997702588340885,3.70489886302667,0.00023101557544572278,0.010360935642479974,0.002113943439500665
Korean FF5 / cnn_transformer / meanvar,Korean 6-factor,606,0.10987261831060166,3.6983879172533274,0.00023691912082596394,0.01052979388591646,0.0006185731235049952
Korean FF5 / fourier_ffn / meanvar,CAPM,606,0.04545339634293183,1.5001232625987448,0.1341049902686796,0.0005892688191118101,-0.0010653847093333724
Korean FF5 / fourier_ffn / meanvar,Korean FF3,606,0.04554809338592954,1.4860188403678365,0.1377976315566517,0.0014288679886288458,-0.0035474001110955555
Korean FF5 / fourier_ffn / meanvar,Korean FF5,606,0.04567239079621644,1.4860935826823543,0.13777961223402582,0.0018685089366125007,-0.006449253488915785
Korean FF5 / fourier_ffn / meanvar,Korean 6-factor,606,0.04606727418962766,1.4993101282849517,0.1343200312693901,0.004141213525691523,-0.005833999694418335
Stock returns K0 / cnn_transformer / meanvar,CAPM,606,-0.10538532797488041,-1.2110874005102497,0.2263355517285796,0.19511704313569178,0.1937844554587641
Stock returns K0 / cnn_transformer / meanvar,Korean FF3,606,-0.09719311157088593,-1.1361122134285162,0.25636167568773843,0.2404192877706437,0.2366340018293014
Stock returns K0 / cnn_transformer / meanvar,Korean FF5,606,-0.07626307523441533,-0.9109470436034673,0.36268909746563055,0.276775500189119,0.27074862935736166
Stock returns K0 / cnn_transformer / meanvar,Korean 6-factor,606,-0.07557941181079975,-0.9023887810873187,0.36721309318017203,0.277440693877844,0.2702030380569209
Stock returns K0 / fourier_ffn / meanvar,CAPM,606,-0.27748970456568994,-2.8310505610533374,0.004794000839302507,0.2823953961228929,0.28120730903038116
Stock returns K0 / fourier_ffn / meanvar,Korean FF3,606,-0.23851061826040243,-2.4770172359316462,0.013522058429233931,0.3238140993955937,0.32044440221650194
Stock returns K0 / fourier_ffn / meanvar,Korean FF5,606,-0.2200797840410815,-2.309399603516361,0.021260116489318172,0.34149934642010404,0.3360118409736049
Stock returns K0 / fourier_ffn / meanvar,Korean 6-factor,606,-0.21579299042246441,-2.29463826701678,0.022098834773385975,0.35987707775235256,0.3534651620036282
PCA10 / cnn_transformer / meanvar,CAPM,606,0.1269856267787633,5.0168334953300455,6.917330345481419e-07,0.002800660145900191,0.0011496678613736044
PCA10 / cnn_transformer / meanvar,Korean FF3,606,0.13087231363111765,5.118344213966118,4.152287808467524e-07,0.006447505440798751,0.0014962471622645968
PCA10 / cnn_transformer / meanvar,Korean FF5,606,0.13276424211261584,5.188948914033033,2.897751971554203e-07,0.010893541596154965,0.0026509877761229372
PCA10 / cnn_transformer / meanvar,Korean 6-factor,606,0.13278787938778608,5.1852632867756,2.9546408704331073e-07,0.010905184654499855,0.000997724066731931
PCA10 / fourier_ffn / meanvar,CAPM,606,-0.013180413439051753,-0.13555795818400893,0.8922159073269923,7.782365139974434e-05,-0.001577676640568182
PCA10 / fourier_ffn / meanvar,Korean FF3,606,-0.009524708189807867,-0.09700809709288151,0.9227522510282307,0.004439697216804928,-0.0005215667505531485
PCA10 / fourier_ffn / meanvar,Korean FF5,606,-0.007729930976631546,-0.0785716059202737,0.9373995689339354,0.006230858896079328,-0.0020505506131198725
PCA10 / fourier_ffn / meanvar,Korean 6-factor,606,-0.009565273940364789,-0.09737417786013616,0.9224618224014609,0.011001015773536182,0.0010945150968103556
PCA15 / cnn_transformer / meanvar,CAPM,606,0.09203189824636193,4.195314930910674,3.1339847464180184e-05,0.0005220992956392889,-0.0011326654406260683
PCA15 / cnn_transformer / meanvar,Korean FF3,606,0.09894967452351296,4.478502460891879,8.995098562457308e-06,0.010055857382957445,0.005122580924733056
PCA15 / cnn_transformer / meanvar,Korean FF5,606,0.10027788914554019,4.537239123746198,6.886780059257802e-06,0.01517295819335418,0.006966066178298869
PCA15 / cnn_transformer / meanvar,Korean 6-factor,606,0.10014303664547362,4.528249187147411,7.178356181472415e-06,0.015678647307569737,0.005819001036860949
PCA15 / fourier_ffn / meanvar,CAPM,606,-0.10747952969138377,-1.5784387543995964,0.11498839496759966,0.0038293468267855957,0.0021800576659027904
PCA15 / fourier_ffn / meanvar,Korean FF3,606,-0.10343272346512221,-1.50181727271048,0.13366863474898968,0.00495793027989877,-7.511306665541895e-07
PCA15 / fourier_ffn / meanvar,Korean FF5,606,-0.0971938542665346,-1.4151896260545216,0.15753170457020316,0.016230397936761176,0.0080323179195676
PCA15 / fourier_ffn / meanvar,Korean 6-factor,606,-0.09720911343450803,-1.4141468454313229,0.15783832849899282,0.01623106772795846,0.006376954883831165
PCA1 / cnn_transformer / meanvar,CAPM,606,0.1378901934675413,3.0138947267401104,0.0026872929040130332,0.012702680782293085,0.011068082571667803
PCA1 / cnn_transformer / meanvar,Korean FF3,606,0.14265098491647973,3.084710833207063,0.002130928465930173,0.015127529702211207,0.010219527358534486
PCA1 / cnn_transformer / meanvar,Korean FF5,606,0.14280397544367404,3.083855040683531,0.0021372865417129197,0.018167506705388026,0.009985569261266258
PCA1 / cnn_transformer / meanvar,Korean 6-factor,606,0.14287848622345076,3.0827605982767077,0.0021451965025872004,0.018202567003018477,0.008368202064818364
PCA1 / fourier_ffn / meanvar,CAPM,606,0.05161768456127068,0.37673883438645245,0.7065000130327763,0.0049783400166836245,0.0033309531624066135
PCA1 / fourier_ffn / meanvar,Korean FF3,606,0.028426380234895285,0.20534164488620094,0.8373746234463036,0.008192615925594948,0.003250054210938491
PCA1 / fourier_ffn / meanvar,Korean FF5,606,0.01892938837730672,0.1365694288444501,0.891416952881567,0.011470085841663757,0.0032323365570109397
PCA1 / fourier_ffn / meanvar,Korean 6-factor,606,0.02280062902929712,0.1652434316768856,0.8688081328955833,0.022105554777969494,0.012310284875912458
PCA3 / cnn_transformer / meanvar,CAPM,606,0.19791434518671797,4.987301010446065,8.013674022945841e-07,0.006837302760621111,0.005192993659231426
PCA3 / cnn_transformer / meanvar,Korean FF3,606,0.20101619396537773,5.006524614744552,7.288897475581157e-07,0.007321977343056063,0.002375076897921824
PCA3 / cnn_transformer / meanvar,Korean FF5,606,0.20413068028276432,5.079851765426313,5.050532098348421e-07,0.011403965889435597,0.003165665605180945
PCA3 / cnn_transformer / meanvar,Korean 6-factor,606,0.20406066245790996,5.073675515711878,5.21278257924416e-07,0.011445361498061746,0.0015433116967068505
PCA3 / fourier_ffn / meanvar,CAPM,606,0.007050851635302121,0.05500457585165516,0.9561530072221137,0.0022203081709905037,0.0005683550388233538
PCA3 / fourier_ffn / meanvar,Korean FF3,606,-0.0021808041281556343,-0.01682045860120082,0.9865854216454326,0.0033817921260120842,-0.0015847437936256092
PCA3 / fourier_ffn / meanvar,Korean FF5,606,0.0009723107372130075,0.0074793389023537155,0.9940348926740611,0.0038144226396068515,-0.004487123838396334
PCA3 / fourier_ffn / meanvar,Korean 6-factor,606,0.0009799655046467586,0.00753148259463518,0.9939933107103982,0.003814470277569093,-0.0061640158298341685
PCA5 / cnn_transformer / meanvar,CAPM,606,0.153304406858261,4.7675602761926,2.3393864876756365e-06,0.0012261078675431802,-0.00042749129161645527
PCA5 / cnn_transformer / meanvar,Korean FF3,606,0.15350594442775134,4.732855888615491,2.762197832995903e-06,0.007852744215632645,0.0029084887881357657
PCA5 / cnn_transformer / meanvar,Korean FF5,606,0.1543248485308342,4.748915482820874,2.560861490353019e-06,0.009759945834493577,0.001507945383114384
PCA5 / cnn_transformer / meanvar,Korean 6-factor,606,0.15426947976101293,4.743062393307351,2.6342014168284314e-06,0.009799593723199163,-0.00011894123115929744
PCA5 / fourier_ffn / meanvar,CAPM,606,-0.1645660891933363,-1.2916636503702685,0.1969676947620979,0.0003598983825030544,-0.0012951348983205602
PCA5 / fourier_ffn / meanvar,Korean FF3,606,-0.18615652348623324,-1.4466165525745864,0.14852480964504108,0.004288504025967366,-0.0006735133958302164
PCA5 / fourier_ffn / meanvar,Korean FF5,606,-0.18437898768751923,-1.4306857437580756,0.1530408822388256,0.007104447938184766,-0.0011696816623303352
PCA5 / fourier_ffn / meanvar,Korean 6-factor,606,-0.18440449517812996,-1.4296047794596234,0.15335181538863543,0.007104984398188519,-0.0028405416345507195
PCA8 / cnn_transformer / meanvar,CAPM,606,0.16392344148795862,5.741602778144336,1.4861079766670308e-08,0.007195185079556743,0.005551468498562695
PCA8 / cnn_transformer / meanvar,Korean FF3,606,0.16844978214064923,5.851807994749087,7.989698279801608e-09,0.014558564531034435,0.009647726812750612
PCA8 / cnn_transformer / meanvar,Korean FF5,606,0.16847149224495697,5.835659178646036,8.77151264063353e-09,0.014564045499346645,0.006352079211841222
PCA8 / cnn_transformer / meanvar,Korean 6-factor,606,0.16862322918057362,5.836805188227962,8.721564429086445e-09,0.014939511556062879,0.005072461588344068
PCA8 / fourier_ffn / meanvar,CAPM,606,0.02841405720315657,0.2345769724769998,0.8146165809118473,0.0003097887902848706,-0.0013453274534398485
PCA8 / fourier_ffn / meanvar,Korean FF3,606,0.021601034515971083,0.17626084481418014,0.8601482989385363,0.0008536355568871112,-0.0041254991496399995
PCA8 / fourier_ffn / meanvar,Korean FF5,606,0.02239306654410267,0.18230231309513903,0.8554070593364761,0.002024594258097423,-0.006291867456418299
PCA8 / fourier_ffn / meanvar,Korean 6-factor,606,0.019697403782179018,0.16074827474479392,0.8723458631085413,0.00865348467181215,-0.0012765305067672372
