strategy,factor_model,model,objective,lookback_days,rolling_retrain,training_window_days,transaction_cost,short_holding_cost,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,mean_daily_turnover,mean_short_proportion
Korean FF1 / cnn_transformer / sharpe,Korean FF1,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.13461248926636066,0.06917610283670501,1.9459391863129782,3.0151344350514955,0.002676316950442815,1.2018366141779588,0.4997347370527758
Korean FF3 / cnn_transformer / sharpe,Korean FF3,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.1167182379259851,0.03977305394886209,2.9346058785441698,4.547023514372023,6.574408341620586e-06,1.2243153654997891,0.5027689669195181
Korean FF5 / cnn_transformer / sharpe,Korean FF5,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.09968112183401504,0.03572647773698791,2.790118929939023,4.323148288866992,1.7985138506448814e-05,1.1980637973881398,0.5254609735787111
Stock returns K0 / cnn_transformer / sharpe,Stock returns K0,cnn_transformer,sharpe,60,True,1000,0.0,0.0,-0.005641903906327887,0.11222767037426398,-0.0502719506474019,-0.07789384713578182,0.9379382479601522,0.9226511827986627,0.4554603639559777
PCA10 / cnn_transformer / sharpe,PCA10,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.1023728696371197,0.03520838422679119,2.9076275973840597,4.505222031007854,7.959644798868348e-06,1.2030645799715527,0.5019794326804259
PCA15 / cnn_transformer / sharpe,PCA15,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.07770351328227637,0.029580572447886807,2.6268427840323083,4.070160151617648,5.321534389277701e-05,1.1413842352113315,0.5025937102808811
PCA1 / cnn_transformer / sharpe,PCA1,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.18214280548589343,0.0532322778293654,3.421660934175073,5.3016907107200915,1.610489811639424e-07,1.1905970701290043,0.4967637299114328
PCA3 / cnn_transformer / sharpe,PCA3,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.14209963869975292,0.04189461037852188,3.3918357854594867,5.255478149939464,2.0494418718569543e-07,1.2606384864341307,0.5013043237696386
PCA5 / cnn_transformer / sharpe,PCA5,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.13952753256595857,0.04043118323878866,3.4509881084088425,5.347131685205289,1.2684365059761123e-07,1.1655215177402245,0.5014173746502438
PCA8 / cnn_transformer / sharpe,PCA8,cnn_transformer,sharpe,60,True,1000,0.0,0.0,0.1232727514542413,0.03738485851972747,3.2973978325795184,5.1091513141848095,4.3444166065942617e-07,1.1302457319037749,0.5003128654197497
