strategy,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value
Stock returns K0 average residual,0.19591697589292564,0.24293444579523396,0.8064602582462156,1.2495694172981202,0.2119400679745469
PCA1 average residual,0.09646805374895664,0.09349290354118361,1.03182220355861,1.5987563633450068,0.11039683424440842
PCA3 average residual,0.08186515213131369,0.049961542189472824,1.638563353806223,2.5388711152045214,0.011370472108313089
PCA5 average residual,0.10132044834472463,0.044305604142785886,2.2868540065088414,3.5433647214971544,0.0004255160537336005
PCA8 average residual,0.09162852563763882,0.040098863969851885,2.2850653750821777,3.5405933274864467,0.0004299177396161543
PCA10 average residual,0.0694331154892388,0.03720298039350241,1.8663320721843422,2.8917872344952906,0.003968190538722776
PCA15 average residual,0.05085039781276062,0.02945589900053472,1.72632306390776,2.6748503512456225,0.007678445686644508
Korean FF1 average residual,-0.09651719427732088,0.09185805850702321,-1.0507210346704796,-1.6280391471382591,0.10403719608186184
Korean FF3 average residual,-0.006685236480362851,0.026495962005702277,-0.25231152123950434,-0.3909439521030847,0.6959762963437627
Korean FF5 average residual,0.004031929060312764,0.021987505426886846,0.18337364707969214,0.2841281997298933,0.7764093511632459
