strategy,factor_model,observations,annual_alpha,alpha_t_statistic,alpha_p_value,r_squared,adjusted_r_squared
Stock returns K0 average residual,CAPM,606,-0.051979349757949114,-0.5325560039517869,0.5945368228371605,0.6156875888105178,0.6150513099840451
Stock returns K0 average residual,Korean FF3,606,0.03714359663702638,0.610223413560984,0.5419441041091809,0.8540629766741208,0.8533357157605367
Stock returns K0 average residual,Korean FF5,606,0.07224834120198222,1.4081524664084328,0.15960384940312727,0.8969098766905301,0.8960507923296179
Stock returns K0 average residual,Korean 6-factor,606,0.0688143511605751,1.38344179884365,0.1670448026859516,0.9032791720263239,0.9023103490416127
PCA1 average residual,CAPM,606,0.04970652290555692,0.8887089893235247,0.3745132838485069,0.1479171605064804,0.14650642732851105
PCA1 average residual,Korean FF3,606,0.06531204999104841,1.3293850436943977,0.18422451908296353,0.35807947264091533,0.3548805331358036
PCA1 average residual,Korean FF5,606,0.0703346317553687,1.4335092508514213,0.15223324081252176,0.3634698256598812,0.3581654075403802
PCA1 average residual,Korean 6-factor,606,0.07496111249003552,1.6296241924361285,0.10370667133541873,0.4415275239984512,0.435933475824813
PCA3 average residual,CAPM,606,0.07926707287161043,2.4500232983418444,0.014567425623089032,0.0015989376786447185,-5.404421261578918e-05
PCA3 average residual,Korean FF3,606,0.07102739747097236,2.187445279104953,0.02909393315314847,0.018118126788890576,0.013225027752954865
PCA3 average residual,Korean FF5,606,0.07306106168484762,2.2465992332547673,0.02502848746418472,0.020762742430243453,0.012602431950495485
PCA3 average residual,Korean 6-factor,606,0.0744504022003728,2.3166177265628423,0.020861038709338326,0.0454127609883499,0.03585095225033674
PCA5 average residual,CAPM,606,0.09974769882219227,3.475136113889694,0.0005471937502346206,0.0007450753817748179,-0.0009093201887850899
PCA5 average residual,Korean FF3,606,0.08891371219303214,3.099161445821517,0.0020312446640232485,0.025267912576336093,0.020410443702131853
PCA5 average residual,Korean FF5,606,0.09095855900060812,3.1677642190271693,0.001614216089031071,0.02925989115092431,0.021170390243848702
PCA5 average residual,Korean 6-factor,606,0.09198536738703243,3.2292645226075685,0.0013089921923962638,0.046381044167149166,0.036828934425918614
PCA8 average residual,CAPM,606,0.09044486549890142,3.4812042137624095,0.0005351849181397312,0.0005152147914406768,-0.00113956134301052
PCA8 average residual,Korean FF3,606,0.08053153713992943,3.111379086435052,0.001950330333524822,0.03146462402506145,0.026638035772694635
PCA8 average residual,Korean FF5,606,0.08334740316230795,3.223753514536623,0.0013338845258852928,0.03919510687199035,0.031188399429256997
PCA8 average residual,Korean 6-factor,606,0.08404355080116697,3.2641339411594212,0.0011605473556245288,0.048802600196543255,0.039274746442251596
PCA10 average residual,CAPM,606,0.06991292992397619,2.8997921762773258,0.0038698497104721766,9.835344294573112e-05,-0.0015571128593010464
PCA10 average residual,Korean FF3,606,0.061203707455292564,2.534338355155396,0.011518283810908908,0.020455192630148833,0.015573740101727629
PCA10 average residual,Korean FF5,606,0.06432271426478825,2.6715502730700456,0.007755155363298689,0.03197759191372995,0.023910738513011065
PCA10 average residual,Korean 6-factor,606,0.06493759181690048,2.706878874881764,0.006985589659042517,0.04068508884153188,0.031075924455971293
PCA15 average residual,CAPM,606,0.05435126134185599,2.8590673027751103,0.004395534949154438,0.008352264025744072,0.006710463138369538
PCA15 average residual,Korean FF3,606,0.05636431499355473,2.9437218200850026,0.0033679340851751746,0.01774584793032641,0.012850893684132059
PCA15 average residual,Korean FF5,606,0.059712959870997756,3.142249467439901,0.0017591985802256917,0.03805516711996271,0.03003896017929575
PCA15 average residual,Korean 6-factor,606,0.05990140497274742,3.1514856121225194,0.001705520927394529,0.039359825063457476,0.029737385915512227
Korean FF1 average residual,CAPM,606,-0.08699173932957588,-1.4659244060752794,0.1431892708592173,0.006358217006051214,0.004713114716326183
Korean FF1 average residual,Korean FF3,606,-0.02887210157529032,-0.7585901436911264,0.448394658758125,0.600918695267578,0.5989299180014696
Korean FF1 average residual,Korean FF5,606,-0.00832075187161553,-0.24852191374210758,0.8038156553905449,0.6929563676934547,0.6903976707575668
Korean FF1 average residual,Korean 6-factor,606,-0.008991928423125831,-0.2690750352084184,0.7879645956701602,0.6946581756391244,0.6915996598692324
Korean FF3 average residual,CAPM,606,-0.0028639181129779135,-0.16781619740164036,0.8667840530241118,0.012298877466098146,0.01066361070693611
Korean FF3 average residual,Korean FF3,606,-0.0020492636223625638,-0.11927593560322812,0.905096539542333,0.022573481066177736,0.01770258479242115
Korean FF3 average residual,Korean FF5,606,0.006238375571592614,0.40180718749215316,0.6879690141057418,0.2064265994473634,0.19981348777609143
Korean FF3 average residual,Korean 6-factor,606,0.005923541091653891,0.3822734790371794,0.7023941143124393,0.2109272647157714,0.20302336419539513
Korean FF5 average residual,CAPM,606,0.007241060340427375,0.5113808259513257,0.6092713056254688,0.01259567551166152,0.01096090013999218
Korean FF5 average residual,Korean FF3,606,0.010271055888487226,0.719093428323216,0.4723623896141287,0.019017792135563427,0.014129176481753936
Korean FF5 average residual,Korean FF5,606,0.01135304483929546,0.795381129038976,0.42670636685353114,0.025995247057216342,0.01787854078269313
Korean FF5 average residual,Korean 6-factor,606,0.011121023484636597,0.7798517131268204,0.4357861877950046,0.029544815193427998,0.019824062090190275
