,Korean FF1 / cnn_transformer,Korean FF3 / cnn_transformer,Korean FF5 / cnn_transformer,Stock returns K0 / cnn_transformer,PCA10 / cnn_transformer,PCA15 / cnn_transformer,PCA1 / cnn_transformer,PCA3 / cnn_transformer,PCA5 / cnn_transformer,PCA8 / cnn_transformer
Korean FF1 / cnn_transformer,1.0,0.3380623815391931,0.31574445655519057,0.36406905616689733,0.1809000054028871,0.04038338477521964,0.41542619849818435,0.32323342062834,0.2538127588729911,0.1982921188067797
Korean FF3 / cnn_transformer,0.3380623815391931,1.0,0.635726890140042,0.07827445832852258,0.2920573381361786,0.19551819431759898,0.4139810071889808,0.4786171795882997,0.4086628106391339,0.3192669102396456
Korean FF5 / cnn_transformer,0.31574445655519057,0.635726890140042,1.0,0.09959235435453871,0.3378649114591075,0.2654909797219145,0.44263882975278546,0.5473234174161409,0.4150241890287981,0.3580721127994979
Stock returns K0 / cnn_transformer,0.36406905616689733,0.07827445832852258,0.09959235435453871,1.0,0.09138278016944834,0.06694213008525159,0.2316098487967369,0.11674547585105052,0.06513087378201174,0.05029853397575446
PCA10 / cnn_transformer,0.1809000054028871,0.2920573381361786,0.3378649114591075,0.09138278016944834,1.0,0.5632921013785248,0.2508548276486359,0.4599364952196409,0.5918301883181396,0.7632340950266393
PCA15 / cnn_transformer,0.04038338477521964,0.19551819431759898,0.2654909797219145,0.06694213008525159,0.5632921013785248,1.0,0.16153986656745523,0.34015161629925134,0.42026431416995713,0.4354543248514352
PCA1 / cnn_transformer,0.41542619849818435,0.4139810071889808,0.44263882975278546,0.2316098487967369,0.2508548276486359,0.16153986656745523,1.0,0.49190848024966116,0.3048000169954913,0.2825629378546096
PCA3 / cnn_transformer,0.32323342062834,0.4786171795882997,0.5473234174161409,0.11674547585105052,0.4599364952196409,0.34015161629925134,0.49190848024966116,1.0,0.6247185939060022,0.5030427852205247
PCA5 / cnn_transformer,0.2538127588729911,0.4086628106391339,0.4150241890287981,0.06513087378201174,0.5918301883181396,0.42026431416995713,0.3048000169954913,0.6247185939060022,1.0,0.6332450317205077
PCA8 / cnn_transformer,0.1982921188067797,0.3192669102396456,0.3580721127994979,0.05029853397575446,0.7632340950266393,0.4354543248514352,0.2825629378546096,0.5030427852205247,0.6332450317205077,1.0
