factor_model,model,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value
Korean FF1,direct_ffn,-0.05335991402009156,0.08978372347153327,-0.5943161182996581,-0.9208627927302697,0.35748910463278527
Korean FF1,ou_ffn,-0.09826561123435786,0.09146428852344277,-1.0743604178276844,-1.6646671767714531,0.09649693372664855
Korean FF3,direct_ffn,0.011901637253992431,0.04578877396057022,0.25992478558699145,0.40274032048844594,0.6872815364925403
Korean FF3,ou_ffn,-0.008144281925155603,0.026550430237916117,-0.30674764409372635,-0.4752899736452295,0.6347518487555216
Korean FF5,direct_ffn,-0.006721255636604892,0.03439901803778669,-0.19539091578782036,-0.30274835032452574,0.7621857098181832
Korean FF5,ou_ffn,0.0024237907632104,0.022074448663005612,0.10980073841084925,0.1701306956071472,0.8649642289159799
Stock returns K0,direct_ffn,-0.03325938001706809,0.17898792612958753,-0.1858191261067981,-0.28791734590500784,0.7735086101374966
Stock returns K0,ou_ffn,0.19328467704362534,0.24270871300883656,0.7963648055625766,1.233927023518309,0.21770921669205687
PCA10,direct_ffn,0.07008743714448933,0.037679187630695936,1.8601100913171362,2.8821465895568994,0.0040899296287089165
PCA10,ou_ffn,0.05981263024202209,0.03740807585935708,1.5989229295540162,2.4774502809751953,0.013504469610965061
PCA15,direct_ffn,0.03053409919098849,0.03730194968028835,0.8185657707624804,1.2683262972142362,0.20516927726340217
PCA15,ou_ffn,0.04173856070276656,0.028934005060658817,1.4425434921734333,2.235148245075735,0.0257717773477016
PCA1,direct_ffn,0.08329844327601886,0.05249960393475141,1.586648984619874,2.4584324235389734,0.014233602650551423
PCA1,ou_ffn,0.07879187855039493,0.09204213677374284,0.8560413883489083,1.3263928729091081,0.18521007265172976
PCA3,direct_ffn,0.06850984839072324,0.04559652826351844,1.5025233499090245,2.328084003675019,0.020236377811831033
PCA3,ou_ffn,0.06544113062243749,0.0501764974786123,1.304218785903335,2.020821102672284,0.04373827570699885
PCA,direct_ffn,0.08095422157231572,0.03699300100128082,2.1883658903345746,3.3907623623848786,0.0007423934361647469
PCA,ou_ffn,0.08331604615616879,0.04436288119433181,1.8780575993520905,2.909955346315679,0.0037476949477213443
PCA8,direct_ffn,0.09310905701287044,0.039367404529444615,2.3651306995164,3.664650501756417,0.0002694246952732944
PCA8,ou_ffn,0.07848191033013689,0.03984029154528549,1.9699130524918076,3.052280729224266,0.0023707145229476495
