strategy,factor_model,model,objective,annual_return,annual_volatility,sharpe,mean_t_statistic,mean_p_value,transaction_cost,short_holding_cost
Stock returns K0 / cnn_transformer_frictions,Stock returns K0,cnn_transformer_frictions,meanvar,-0.06864815883584557,0.14289937727046087,-0.48039508741817327,-0.7443479121506025,0.4569550322589276,0.0005,0.0001
Stock returns K0 / cnn_transformer_frictions,Stock returns K0,cnn_transformer_frictions,sharpe,-0.12205571767142558,0.11876996244295551,-1.0276648671169546,-1.592314780611335,0.11183630642034151,0.0005,0.0001
PCA10 / cnn_transformer_frictions,PCA10,cnn_transformer_frictions,meanvar,-0.00012999694034443956,0.03656714141317177,-0.0035550205818826635,-0.00550832474578023,0.9956068307248804,0.0005,0.0001
PCA10 / cnn_transformer_frictions,PCA10,cnn_transformer_frictions,sharpe,0.008956586215417542,0.03603283806355384,0.2485673262711123,0.38514251120495696,0.7002671972573155,0.0005,0.0001
PCA15 / cnn_transformer_frictions,PCA15,cnn_transformer_frictions,meanvar,-0.027076138160061478,0.028925026483846136,-0.9360799781871517,-1.4504086232735889,0.1474628349063818,0.0005,0.0001
PCA15 / cnn_transformer_frictions,PCA15,cnn_transformer_frictions,sharpe,-0.01821564988141937,0.028265610616313896,-0.6444456526584269,-0.9985359730235362,0.3184187305647759,0.0005,0.0001
PCA1 / cnn_transformer_frictions,PCA1,cnn_transformer_frictions,meanvar,0.06050805397499392,0.07894289611685379,0.7664787707487697,1.1876201228052443,0.23544915592674914,0.0005,0.0001
PCA1 / cnn_transformer_frictions,PCA1,cnn_transformer_frictions,sharpe,0.059792250159468714,0.0772406580887732,0.7741033238058262,1.1994339824756313,0.23082876553120452,0.0005,0.0001
PCA3 / cnn_transformer_frictions,PCA3,cnn_transformer_frictions,meanvar,0.07697065257345403,0.052596119614392166,1.4634283505658492,2.2675082777802813,0.02371108746702028,0.0005,0.0001
PCA3 / cnn_transformer_frictions,PCA3,cnn_transformer_frictions,sharpe,0.07254177359868397,0.05109457100458839,1.4197550184376648,2.199838656592053,0.028195738577243536,0.0005,0.0001
PCA5 / cnn_transformer_frictions,PCA5,cnn_transformer_frictions,meanvar,0.043838952991250985,0.042761449806314064,1.0251980040390918,1.5884925009301727,0.1126974464322543,0.0005,0.0001
PCA5 / cnn_transformer_frictions,PCA5,cnn_transformer_frictions,sharpe,0.060172521613974184,0.043847456373074516,1.3723149890839377,2.1263327283953477,0.03387976404516499,0.0005,0.0001
